layer,shape,alpha_mean,alpha_std,alpha_valid_models,fraction_in_range,q_l,stat_keep,q_keep,final_keep
model.emb_noise.weight,512x512,3.1179289879155356,0.13268012259665196,20,1.0,0.31724790394314145,True,True,True
model.x_embedder.mlp.weight,512x51,3.584510387464179,0.7962180377761443,20,0.95,0.13627905104562013,True,True,True
model.layers.0.0.weight,512x512,3.124591475385988,0.8709414968157376,20,1.0,0.1638655751764548,True,True,True
model.layers.0.1.weight,512x512,3.52169188979303,0.40951080681112406,20,1.0,0.20010996489904154,True,True,True
model.layers.0.2.weight,512x512,2.83279932254476,0.27711432893090276,20,1.0,0.31888454244054204,True,True,True
model.layers.1.0.weight,512x512,3.233922513469389,0.5060314587886504,20,1.0,0.21211518808475754,True,True,True
model.layers.1.1.weight,512x512,5.09086458286936,1.2550702705166792,20,0.8,0.042657482309184376,True,False,False
model.layers.1.2.weight,512x512,2.774001445995338,0.33439419926366637,20,1.0,0.31120410263314485,True,True,True
model.layers.2.0.weight,512x512,3.319124594818856,0.45803061342141504,20,1.0,0.21219809975946485,True,True,True
model.layers.2.1.weight,512x512,5.530132007449155,1.2037610578965159,20,0.5,0.02927560473881407,True,False,False
model.layers.2.2.weight,512x512,2.7820657252735286,0.3806993368028005,20,1.0,0.2969557811315697,True,True,True
model.layers.3.0.weight,512x512,3.555033512900578,0.5667878838419023,20,1.0,0.17158103424720772,True,True,True
model.layers.3.1.weight,512x512,5.246071156773404,1.5746449444876256,20,0.75,0.030039887254444394,True,False,False
model.layers.3.2.weight,512x512,2.6072492303066346,0.48661258694460774,20,0.85,0.22945538497037996,True,True,True
model.layers.4.0.weight,512x512,3.768934077299961,0.6046106620678204,20,1.0,0.14943280651584867,True,True,True
model.layers.4.1.weight,512x512,4.80669539307994,1.1652631149396244,20,0.85,0.05363724593757795,True,True,True
model.layers.4.2.weight,512x512,2.4529088723412613,0.4550060168471878,20,0.7,0.1971809178246606,True,True,True
model.layers.5.0.weight,512x512,3.6513840698978557,0.6105499066208904,20,1.0,0.15767336798723044,True,True,True
model.layers.5.1.weight,512x512,3.4233541875637052,0.4823377925217948,20,1.0,0.19726657385939356,True,True,True
model.layers.5.2.weight,512x512,2.1632474997280364,0.4723009206770516,20,0.35,0.09536882704382955,False,True,False
model.final_layer.0.weight,512x512,2.751276943580361,0.3467988531960269,20,1.0,0.31137702792219596,True,True,True
model.final_layer.2.weight,512x512,2.331683703378543,0.4639067428366737,20,0.65,0.18737451403670533,True,True,True
