layer,short_label,layer_group,alpha_mean,alpha_std,num_valid_alpha,q_l,stat_keep,q_keep,retained
decoder.block.0.layer.0.SelfAttention.k.weight,dec0.Self K,Self K,3.107370898198887,0.0,196,0.574795529533891,True,True,True
decoder.block.0.layer.0.SelfAttention.o.weight,dec0.Self O,Self O,2.691674262312584,4.440892098500626e-16,196,0.7075884891421919,True,True,True
decoder.block.0.layer.0.SelfAttention.q.weight,dec0.Self Q,Self Q,3.381570917904842,0.009998292789325213,196,0.49617495169536674,True,True,True
decoder.block.0.layer.0.SelfAttention.v.weight,dec0.Self V,Self V,5.1046980918463065,0.013737518744988469,196,0.20885427470770485,True,True,True
decoder.block.0.layer.1.EncDecAttention.k.weight,dec0.Cross K,Cross K,2.287971108666884,0.0,196,0.8658522409210656,True,True,True
decoder.block.0.layer.1.EncDecAttention.o.weight,dec0.Cross O,Cross O,2.652103985951125,4.440892098500626e-16,196,0.7217276364367008,True,True,True
decoder.block.0.layer.1.EncDecAttention.q.weight,dec0.Cross Q,Cross Q,4.011641404487265,0.013611096590502997,196,0.36078826436327743,True,True,True
decoder.block.0.layer.1.EncDecAttention.v.weight,dec0.Cross V,Cross V,3.4608016434620006,0.03506782696043545,196,0.4651613095530543,True,True,True
decoder.block.0.layer.2.DenseReluDense.wi_0.weight,dec0.FFN In0,FFN In0,2.3295549103286923,0.0,196,0.8480353919243708,True,True,True
decoder.block.0.layer.2.DenseReluDense.wi_1.weight,dec0.FFN In1,FFN In1,6.021730803657419,8.881784197001252e-16,196,0.0,False,False,False
decoder.block.0.layer.2.DenseReluDense.wo.weight,dec0.FFN Out,FFN Out,5.014824356964887,8.881784197001252e-16,196,0.22147011233648017,True,True,True
decoder.block.1.layer.0.SelfAttention.k.weight,dec1.Self K,Self K,2.6810241641276535,4.440892098500626e-16,196,0.7113664826571656,True,True,True
decoder.block.1.layer.0.SelfAttention.o.weight,dec1.Self O,Self O,2.5180571073984344,4.440892098500626e-16,196,0.7717581873568308,True,True,True
decoder.block.1.layer.0.SelfAttention.q.weight,dec1.Self Q,Self Q,2.6654262903979675,0.025205106250585776,196,0.6991468472630786,True,True,True
decoder.block.1.layer.0.SelfAttention.v.weight,dec1.Self V,Self V,3.6617872396132967,0.003599885372543799,196,0.43407092268378944,True,True,True
decoder.block.1.layer.1.EncDecAttention.k.weight,dec1.Cross K,Cross K,3.2995339351958455,4.440892098500626e-16,196,0.5221384894981131,True,True,True
decoder.block.1.layer.1.EncDecAttention.o.weight,dec1.Cross O,Cross O,3.201783224360348,1.7763568394002505e-15,196,0.5482921216737331,True,True,True
decoder.block.1.layer.1.EncDecAttention.q.weight,dec1.Cross Q,Cross Q,3.2481705656052293,0.013923455901188837,196,0.5283269123338579,True,True,True
decoder.block.1.layer.1.EncDecAttention.v.weight,dec1.Cross V,Cross V,5.322277301591308,0.007076053819796294,196,0.18857417499924592,True,False,False
decoder.block.1.layer.2.DenseReluDense.wi_0.weight,dec1.FFN In0,FFN In0,3.524645227046272,8.881784197001252e-16,196,0.4665556063980287,True,True,True
decoder.block.1.layer.2.DenseReluDense.wi_1.weight,dec1.FFN In1,FFN In1,4.341572034205042,1.7763568394002505e-15,196,0.3101058865713826,True,True,True
decoder.block.1.layer.2.DenseReluDense.wo.weight,dec1.FFN Out,FFN Out,5.407859068880201,1.7763568394002505e-15,196,0.18195698107269676,True,False,False
decoder.block.10.layer.0.SelfAttention.k.weight,dec10.Self K,Self K,3.7592842138301674,4.440892098500626e-16,196,0.41490837757580923,True,True,True
decoder.block.10.layer.0.SelfAttention.o.weight,dec10.Self O,Self O,3.5234271711530307,4.440892098500626e-16,196,0.4668398383447917,True,True,True
decoder.block.10.layer.0.SelfAttention.q.weight,dec10.Self Q,Self Q,3.5140296024725486,0.215000478314131,196,0.38037846556273364,True,True,True
decoder.block.10.layer.0.SelfAttention.v.weight,dec10.Self V,Self V,6.593521482739869,0.07870991123435232,196,0.0,False,False,False
decoder.block.10.layer.1.EncDecAttention.k.weight,dec10.Cross K,Cross K,2.701090719745302,4.440892098500626e-16,196,0.7042648311090861,True,True,True
decoder.block.10.layer.1.EncDecAttention.o.weight,dec10.Cross O,Cross O,3.6638880559470177,1.3322676295501878e-15,196,0.43517828507576756,True,True,True
decoder.block.10.layer.1.EncDecAttention.q.weight,dec10.Cross Q,Cross Q,3.16225580086406,0.053250678185218746,196,0.53041900284856,True,True,True
decoder.block.10.layer.1.EncDecAttention.v.weight,dec10.Cross V,Cross V,8.570551438104614,0.058265613246190014,196,0.0,False,False,False
decoder.block.10.layer.2.DenseReluDense.wi_0.weight,dec10.FFN In0,FFN In0,3.377957878430018,0.0,196,0.5020606286640072,True,True,True
decoder.block.10.layer.2.DenseReluDense.wi_1.weight,dec10.FFN In1,FFN In1,4.594832084563242,8.881784197001252e-16,196,0.273221762849609,True,True,True
decoder.block.10.layer.2.DenseReluDense.wo.weight,dec10.FFN Out,FFN Out,3.7032576296027737,4.440892098500626e-16,196,0.4266956565787443,True,True,True
decoder.block.11.layer.0.SelfAttention.k.weight,dec11.Self K,Self K,4.448508056129191,8.881784197001252e-16,196,0.2939606155881425,True,True,True
