layer,branch_family,parameter_family,method,shape,sample_count,vector_length,num_models,components_for_90pct,components_for_95pct,components_for_99pct,rank_fraction_90,cumulative_top1,cumulative_top3,cumulative_top5,alpha_mean,alpha_std,fraction_in_range,q_l,alpha_final_keep,selected_orientation,row_vector_length,column_vector_length,row_rank_90,column_rank_90,row_rank_fraction_90,column_rank_fraction_90
glin0.bias,geometry,bias,vector,256,32,256,32,23,27,30,0.08984375,0.18667569756507874,0.318068265914917,0.41967132687568665,,,,,,,,,,,,
glin0.weight_g,geometry,weight_g,vector,256x1,32,256,32,21,26,30,0.08203125,0.24897490441799164,0.40966588258743286,0.5212581753730774,,,,,,,,,,,,
glin0.weight_v,geometry,weight_v,weight_v_row,256x39,8192,39,32,25,27,32,0.6410256410256411,0.09382326900959015,0.24919569492340088,0.3276393711566925,2.0082652575264897,0.11029584562985846,0.375,0.25219303499066215,True,row,39,256,25,171,0.6410256410256411,0.66796875
glin1.bias,geometry,bias,vector,256,32,256,32,22,26,30,0.0859375,0.1599130630493164,0.3113343119621277,0.4300350546836853,,,,,,,,,,,,
glin1.weight_g,geometry,weight_g,vector,256x1,32,256,32,22,26,30,0.0859375,0.12057913839817047,0.301166832447052,0.4227900207042694,,,,,,,,,,,,
glin1.weight_v,geometry,weight_v,weight_v_column,256x256,8192,256,32,187,215,245,0.73046875,0.01984178088605404,0.0467575304210186,0.06960143148899078,5.669484198152619,0.7112207944661022,0.65625,0.05140671522506031,True,column,256,256,205,187,0.80078125,0.73046875
glin2.bias,geometry,bias,vector,257,32,257,32,22,26,30,0.08560311284046693,0.119163878262043,0.30810707807540894,0.42505714297294617,,,,,,,,,,,,
glin2.weight_g,geometry,weight_g,vector,257x1,32,257,32,22,26,30,0.08560311284046693,0.11835643649101257,0.2649828791618347,0.3792632818222046,,,,,,,,,,,,
deviation_network.variance,variance,variance,vector,1,32,1,32,1,1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,
clin0.bias,color,bias,vector,256,32,256,32,23,26,30,0.08984375,0.12174507975578308,0.2544400990009308,0.37178924679756165,,,,,,,,,,,,
clin0.weight_g,color,weight_g,vector,256x1,32,256,32,19,24,29,0.07421875,0.1931511014699936,0.39219725131988525,0.5253495573997498,,,,,,,,,,,,
clin0.weight_v,color,weight_v,weight_v_row,256x321,8192,321,32,166,209,279,0.5171339563862928,0.08453673124313354,0.12615962326526642,0.15647363662719727,3.2219216318796815,0.4767758457922364,1.0,0.27614780962826824,True,row,321,256,166,186,0.5171339563862928,0.7265625
clin1.bias,color,bias,vector,256,32,256,32,21,25,30,0.08203125,0.15936045348644257,0.317168653011322,0.4517448842525482,,,,,,,,,,,,
clin1.weight_g,color,weight_g,vector,256x1,32,256,32,18,22,28,0.0703125,0.1444423347711563,0.37270042300224304,0.5417176485061646,,,,,,,,,,,,
clin1.weight_v,color,weight_v,weight_v_column,256x256,8192,256,32,158,193,236,0.6171875,0.21353600919246674,0.2701253890991211,0.2970067262649536,3.0757917050760852,0.2189625583647584,1.0,0.3766759141360138,True,column,256,256,164,158,0.640625,0.6171875
clin2.bias,color,bias,vector,3,32,3,32,1,2,3,0.3333333333333333,0.9017319083213806,1.0,1.0,,,,,,,,,,,,
clin2.weight_g,color,weight_g,vector,3x1,32,3,32,1,1,2,0.3333333333333333,0.9762057662010193,1.0,1.0,,,,,,,,,,,,
clin2.weight_v,color,weight_v,weight_v_row,3x256,96,256,32,30,40,65,0.1171875,0.21418923139572144,0.3841427266597748,0.4972580373287201,,,,,,row,256,3,30,3,0.1171875,1.0
