layer,branch_family,parameter_family,eligible_for_alpha,num_models,alpha_valid_models,alpha_mean,alpha_std,fraction_in_range,alpha_weighted_mean,stable_rank_mean,stable_rank_fraction_mean,mp_softrank_mean,num_spikes_mean,D_mean
clin0.bias,color,bias,False,32,0,nan,nan,0.0,nan,1.0000000354694765,1.0000000354694765,nan,nan,nan
clin0.weight_g,color,weight_g,False,32,0,nan,nan,0.0,nan,1.0000000221033603,1.0000000221033603,nan,nan,nan
clin0.weight_v,color,weight_v,True,32,32,3.2219216318796815,0.4767758457922364,1.0,4.236153153940637,23.34569134941748,0.09119410683366203,nan,nan,0.03677276282112299
clin1.bias,color,bias,False,32,0,nan,nan,0.0,nan,0.9999999741142631,0.9999999741142631,nan,nan,nan
clin1.weight_g,color,weight_g,False,32,0,nan,nan,0.0,nan,0.9999999667250812,0.9999999667250812,nan,nan,nan
clin1.weight_v,color,weight_v,True,32,32,3.0757917050760852,0.2189625583647584,1.0,5.723703801753956,8.703173241101538,0.03400061983813725,nan,nan,0.061803384030296116
clin2.bias,color,bias,False,32,0,nan,nan,0.0,nan,1.0000000001298186,1.0000000001298186,nan,nan,nan
clin2.weight_g,color,weight_g,False,32,0,nan,nan,0.0,nan,1.000000031810624,1.000000031810624,nan,nan,nan
clin2.weight_v,color,weight_v,False,32,0,nan,nan,0.0,nan,1.2319645714751495,0.4106548571583832,nan,nan,nan
deviation_network.variance,variance,variance,False,32,0,nan,nan,0.0,nan,1.0,1.0,nan,nan,nan
glin0.bias,geometry,bias,False,32,0,nan,nan,0.0,nan,0.9999999914426477,0.9999999914426477,nan,nan,nan
glin0.weight_g,geometry,weight_g,False,32,0,nan,nan,0.0,nan,1.00000001283753,1.00000001283753,nan,nan,nan
glin0.weight_v,geometry,weight_v,True,32,32,2.0082652575264897,0.11029584562985846,0.375,1.2749848144477265,4.304810428718451,0.11037975458252437,nan,nan,0.12236892704151092
glin1.bias,geometry,bias,False,32,0,nan,nan,0.0,nan,0.9999999727589102,0.9999999727589102,nan,nan,nan
glin1.weight_g,geometry,weight_g,False,32,0,nan,nan,0.0,nan,1.0000000062501648,1.0000000062501648,nan,nan,nan
glin1.weight_v,geometry,weight_v,True,32,32,5.669484198152619,0.7112207944661022,0.65625,6.811352310962352,40.05077669957252,0.15646855308153523,nan,nan,0.07209185221577757
glin2.bias,geometry,bias,False,32,0,nan,nan,0.0,nan,0.9999999965953026,0.9999999965953026,nan,nan,nan
glin2.weight_g,geometry,weight_g,False,32,0,nan,nan,0.0,nan,0.9999999884375412,0.9999999884375412,nan,nan,nan
glin2.weight_v,geometry,weight_v,True,32,32,1.7513176327722,0.19467248693791703,0.0625,4.867756671285566,1.4400611641639485,0.005643156912638944,nan,nan,0.06086738459476598
