scene_key,dataset,scene,alpha_mean,alpha_std,fraction_layers_in_range,num_valid_layers
dtu/scan105,dtu,scan105,2.990462341981175,1.0422148841844519,0.6,5
dtu/scan106,dtu,scan106,3.293594301056551,1.5607730325769695,0.4,5
dtu/scan110,dtu,scan110,3.0741126994326002,1.500297131617791,0.6,5
dtu/scan114,dtu,scan114,3.2771867016053333,1.5864911473118375,0.4,5
dtu/scan118,dtu,scan118,3.099521130759249,1.4419921872510215,0.6,5
dtu/scan122,dtu,scan122,3.139268745595941,1.3082619673403049,0.6,5
dtu/scan24,dtu,scan24,2.7542299022759176,0.82509434284858,0.8,5
dtu/scan37,dtu,scan37,2.877224879968464,1.401571707952136,0.6,5
dtu/scan40,dtu,scan40,2.8556730060594755,1.1687014688601909,0.6,5
dtu/scan55,dtu,scan55,3.224704255363039,1.3321331735930078,0.6,5
dtu/scan63,dtu,scan63,2.9116319879774477,1.1977689986031836,0.8,5
dtu/scan65,dtu,scan65,3.1425615322915297,1.3113123880563928,0.6,5
dtu/scan69,dtu,scan69,3.0485314431333728,1.2920116276339524,0.6,5
dtu/scan83,dtu,scan83,3.1685929718414343,1.544562660713169,0.6,5
dtu/scan97,dtu,scan97,2.990481991886754,1.173217879340589,0.8,5
replica/scan1,replica,scan1,3.2517467724394655,1.5107475325106094,0.6,5
replica/scan2,replica,scan2,3.0060855767526573,1.101755728015532,0.6,5
replica/scan3,replica,scan3,3.627313546802255,1.9608519448151098,0.4,5
replica/scan4,replica,scan4,3.4805068103729573,2.003345954328945,0.6,5
replica/scan5,replica,scan5,3.4218943609463723,1.6799467864824407,0.4,5
replica/scan6,replica,scan6,2.9053002794858567,1.0555463855209961,0.8,5
replica/scan7,replica,scan7,3.1791833958173696,1.5882511326299757,0.4,5
replica/scan8,replica,scan8,3.246548160080775,1.5666654292428754,0.4,5
scannet/scan1,scannet,scan1,3.461221031820829,1.4185975706115925,0.8,5
scannet/scan2,scannet,scan2,3.310194592534755,1.553122218111974,0.8,5
scannet/scan3,scannet,scan3,3.281882817720419,1.8107296061789786,0.4,5
scannet/scan4,scannet,scan4,3.364349172742778,1.4975188112818323,0.6,5
tanks-and-temple/scan1,tanks-and-temple,scan1,3.2439715057393466,1.2471567009868427,1.0,5
tanks-and-temple/scan2,tanks-and-temple,scan2,3.204296996036271,1.5499398793438817,0.6,5
tanks-and-temple/scan3,tanks-and-temple,scan3,3.2231573006998167,1.531490986941089,0.6,5
tanks-and-temple/scan4,tanks-and-temple,scan4,2.750377171770945,1.1422957808840943,0.8,5
tanks-and-temple-highres/scan1,tanks-and-temple-highres,scan1,2.8455873396141262,1.0716596672204737,0.8,5
