dataset,protocol,variance_threshold,num_samples,original_top1,reconstructed_top1,delta_top1,family_savings_percent,amortized_mb_per_model
CIFAR100,iid,0.8,10000,0.8092,0.7788,-0.0304,8.55,82.88
CIFAR100,iid,0.9,10000,0.8092,0.8015,-0.0077,5.31,85.82
CIFAR100,iid,0.95,10000,0.8092,0.8080,-0.0012,2.83,88.07
CIFAR100,ood,0.8,10000,0.8092,0.7788,-0.0304,8.55,82.88
CIFAR100,ood,0.9,10000,0.8092,0.8016,-0.0076,5.31,85.82
CIFAR100,ood,0.95,10000,0.8092,0.8081,-0.0011,2.83,88.07
CIFAR10,iid,0.8,10000,0.9464,0.9321,-0.0143,8.62,82.18
CIFAR10,iid,0.9,10000,0.9464,0.9446,-0.0018,5.35,85.12
CIFAR10,iid,0.95,10000,0.9464,0.9448,-0.0016,2.85,87.37
CIFAR10,ood,0.8,10000,0.9464,0.9322,-0.0142,8.62,82.18
CIFAR10,ood,0.9,10000,0.9464,0.9446,-0.0018,5.35,85.12
CIFAR10,ood,0.95,10000,0.9464,0.9448,-0.0016,2.85,87.37
ImageNet-1k,iid,0.8,50000,0.8010,0.7713,-0.0297,7.93,89.95
ImageNet-1k,iid,0.9,50000,0.8010,0.7910,-0.0100,4.93,92.88
ImageNet-1k,iid,0.95,50000,0.8010,0.7972,-0.0038,2.62,95.13
ImageNet-1k,ood,0.8,50000,0.8010,0.7537,-0.0474,7.42,90.45
ImageNet-1k,ood,0.9,50000,0.8010,0.7890,-0.0120,4.67,93.13
ImageNet-1k,ood,0.95,50000,0.8010,0.7970,-0.0041,2.11,95.63
SVHN,iid,0.8,26032,0.9632,0.9315,-0.0317,8.62,82.18
SVHN,iid,0.9,26032,0.9632,0.9594,-0.0038,5.35,85.12
SVHN,iid,0.95,26032,0.9632,0.9623,-0.0009,2.85,87.37
SVHN,ood,0.8,26032,0.9632,0.9316,-0.0316,8.62,82.18
SVHN,ood,0.9,26032,0.9632,0.9594,-0.0038,5.35,85.12
SVHN,ood,0.95,26032,0.9632,0.9624,-0.0008,2.85,87.37
Places365,iid,0.8,36500,0.5301,0.4992,-0.0308,8.36,84.98
Places365,iid,0.9,36500,0.5301,0.5258,-0.0043,5.19,87.92
Places365,iid,0.95,36500,0.5301,0.5303,+0.0002,2.76,90.17
Places365,ood,0.8,36500,0.5301,0.4993,-0.0308,8.36,84.98
Places365,ood,0.9,36500,0.5301,0.5258,-0.0043,5.19,87.92
Places365,ood,0.95,36500,0.5301,0.5302,+0.0001,2.76,90.17
